about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
"CA Inter Audit Full Course By MEPL Classes CA Shruti Chamaria in 80 Hrs. These lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study materials will be provided with the same.",,MEPL Classes,,CA Inter Audit Full Course By MEPL Classes CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/@Zeroinfyin,,"Rs. 6,300.00",Mail: d2hclasses@mohitsir.com,80 Hrs (50 lectures),,//zeroinfy.in/cdn/shop/files/CAInterAuditFullCourseByMEPLClassesCAShrutiChamaria_1024x1024.jpg?v=1741428333,Video Lectures + Study Materials (1 Book),Google Drive | Mobile App,"6 Months,9 Months,12 Months",,"There Is No Transfer Possible To Another Device Due To Any Reason,Computer /Desktop Monitor size should not be more than 19” inches,IOS not supported for Google Drive / Pen Drive,Use ofÂ EarphoneÂ is recommended for better concentration and audio qualityÂ","Rs. 5,040.00",0.00,Latest,"Laptop / Desktop -,Â,Windows 8 & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,Mobile -Â,Classes will play only in Android & IOS |Â Classes Are Not In Downloadable Format. It Will Be In Streaming Mode, Just Like YouTube |Â Internet Availability Will Be Compulsory For Streaming The Classes |Â PENDRIVE CLASS WILL NOT WORK IN MOBILE APP |Â Model of the android mobile must be of YEAR - 2019 or above, otherwise classes won’t support. Minimum 3GB RAM required |Â Ipad / Iphone requires IOS 13.0 or later version to run the MOBILE APP Classes",0,Laptop / Desktop / MobileÂ,English,,,https://zeroinfy.in/collections/all/products/ca-inter-audit-full-course-by-mepl-classes-ca-shruti-chamaria,6 / 9 / 12 months date of installation or exam term whichever is earlier (Further Extension Is Not Possible),Hindi-Engish Mix
"CA Inter Taxation Full Course By MEPL Classes CA Pratik Neve in 180 Hrs. These lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study materials will be provided with the same.",,MEPL Classes,,CA Inter Taxation Full Course By MEPL Classes CA Pratik Neve,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/@Zeroinfyin,,"Rs. 6,300.00",Mail: d2hclasses@mohitsir.com,180 Hrs (120 lectures),,//zeroinfy.in/cdn/shop/files/CAInterTaxationFullCourseByMEPLClassesCAPratikNeve_1024x1024.jpg?v=1741428332,Video Lectures + Study Materials (2 Books),Google Drive | Mobile App,"6 Months,9 Months,12 Months",,"There Is No Transfer Possible To Another Device Due To Any Reason,Computer /Desktop Monitor size should not be more than 19” inches,IOS not supported for Google Drive / Pen Drive,Use ofÂ EarphoneÂ is recommended for better concentration and audio qualityÂ","Rs. 5,040.00",0.00,Latest,"Laptop / Desktop -,Â,Windows 8 & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,Mobile -Â,Classes will play only in Android & IOS |Â Classes Are Not In Downloadable Format. It Will Be In Streaming Mode, Just Like YouTube |Â Internet Availability Will Be Compulsory For Streaming The Classes |Â PENDRIVE CLASS WILL NOT WORK IN MOBILE APP |Â Model of the android mobile must be of YEAR - 2019 or above, otherwise classes won’t support. Minimum 3GB RAM required |Â Ipad / Iphone requires IOS 13.0 or later version to run the MOBILE APP Classes",0,Laptop / Desktop / MobileÂ,English,,,https://zeroinfy.in/collections/all/products/ca-inter-taxation-full-course-by-mepl-classes-ca-pratik-neve,6 / 9 / 12 months date of installation or exam term whichever is earlier (Further Extension Is Not Possible),Hindi-Engish Mix
,,CA Rajkumar,"Laptop:,Windows,8, 8.1 & 10 |,Pentium Dual-core 2.0 GHz and above,|,2,GB RAM | Minimum 20% Free space on C Drive,Mobile,:,Android Operating system Version 14.0 minimum or above | Processor: minimum 1.0 GHZ | RAM: 1GB minimum",CA Inter Group 1 Full Course Combo By CA Rajkumar Classes,"Live Batch with Hard Copy,Google Drive with Hard Copy",,,"Rs. 39,500.00",,"Advanced Accounts -,325 Hrs,(120 lectures),Law Arjun Sir -,160 Hrs,(72 lectures),Law Harsh Sir -,190 Hrs,(70 lectures),Law Amit Sir -,180 Hrs,(90 lectures),Law Darshan Sir -,160 Hrs,(80 lectures),Law Ankita Ma'am -,190 Hrs,(95 lectures),Law Navni Ma'am -,160 Hrs,(72 lectures),DT -,160 Hrs,(61 lectures),IDT -,105 Hrs,(120 lectures)",,//zeroinfy.in/cdn/shop/files/CAInterGroup1FullCourseComboByCARajkumarClasses_1024x1024.jpg?v=1740719939,"Video Lectures + Study Materials,Study Kit Contains -,Hard Copy Colourful Notes Of Group 1 All Subjects",Live Batch | Google Drive,"Jan 26,May 26 and onwards",,,"Rs. 34,500.00",0.00,March 2025,"Live Classes,through Android/iOS / Web Browser on Laptop / Desktop,Laptop -,Original 10,11 or any other higher version with 32 or 64 Bit,|,Windows 8, Windows 7, XP, Vista, Starter, 7Basic, 7N Edition, 7KN edition, and Pirated Windows are,not supported,. You are advised not to view classes on an office laptop since it may conflict with our security features. (Viewing device For GD Classes - Windows 10/11 Laptop Only),Mobile -,Android version 7 or higher, with minimum 3GB RAM and 32GB internal Memory,Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.,Laptop,: -Operating system - Windows 8 and above, 4GB RAM, Dual-core processor and above,Mobile:,- Android version 8 & above, 3GB RAM minimum (Recommended 4GB),iOS - Requires iOS 14 or above,Windows:,Windows 7,8,8.1,10 | 2 GB Ram or Above | Anti-Virus must be disabled till the installation process | Anti-Virus-Must be disabled till the installation process,Mobile:,Android 6.0 & Above,INTERNET CONNECTIVITY,Windows OS (10,11 or any other higher version),Laptop,: -Windows- 8,8.1,10 (Only 64 bit operating system is applicable,-Ram- 4GB (Mandatory),-Processor- if (i3/i5/i7)-Sharable Memory Above 500MB,-Others-Graphic card 1GB Min.(Mandatory),Mobile:,- Android version 5 onwards (Pendrive Orders will not work in Redmi Note 8 , 9 , 10,- Redmi 9 pro,- Oppo A31,- Vivo y12 models),- Ram 2 GB Minimum,Laptop:,Windows 8, 8.1, 10 11,or any other higher version | 4 GB RAM & Above,Mobile:,Android version 7.0 or Above | 3 GB Ram or Above | 32 GB Internal Memory or Above |,Not Supported On Motorola,Devices",0,"Laptop / Mobile,Laptop / Desktop / Mobile / Tablet,iOS - iPhone / iPad supported,Laptop / Mobile,Desktop / Laptop / Mobile,Laptop / Mobile,Laptop / Mobile",English,"Mobile - 9324052441,Email us at support@zeroinfy.in","1.5 times,on duration with unlimited clicks for each subject",https://zeroinfy.in/collections/all/products/ca-inter-group-1-full-course-combo-by-ca-rajkumar-classes,"12 Months,from the date of activation",Hindi-English Mix
CMA Final Strategic Financial Management (SFM) Full Course By CA Mayank Saraf in 160 Hrs. These lectures are beneficial for Dec 25 and June 26 attempts. Study materials will be provided with the same.,,Ranjan Periwal Classes,,CMA Final Strategic Financial Management (SFM) Full Course By CA Mayank Saraf,"Live Batch with Hard Copy,Google Drive with Hard Copy",https://www.youtube.com/watch?v=WF3ClThSFoo,,"Rs. 7,400.00",Telegram (Faculty Personal Telegram Number Provided for any kind of Doubt Solving),,,//zeroinfy.in/cdn/shop/files/CMAFinalStrategicFinancialManagement_SFM_FullCourseByCAMayankSaraf_1024x1024.jpg?v=1741505783,Video Lectures + Study Materials (Hard Copy Books + 7 Chapterwise Test and 1 Full Test),Live Batch | Google Drive,,,,"Rs. 6,290.00",0.00,March 2025 (Live Batch - Monday to Saturday (7:30 AM to 9:30 AM)),,0,Laptop,English,,,https://zeroinfy.in/collections/all/products/cma-final-sfm-full-course-by-ca-mayank-saraf,12 Months from the date of activation,Hindi-English Mix
"CMA Inter Law and OM SM Full Course Combo By MEPL Classes CA Divya Agarwal in 315 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter Law and OM SM Full Course Combo By MEPL Classes CA Divya Agarwal,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 11,500.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterLawandOMSMFullCourseComboByMEPLClassesCADivyaAgarwal_1024x1024.jpg?v=1741428330,Video Lectures + Study Materials (5 Book),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 10,005.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-law-and-om-sm-full-course-combo-by-mepl-classes-ca-divya-agarwal,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter Law and Audit Full Course Combo By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria in 280 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter Law and Audit Full Course Combo By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 9,750.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterLawandAuditFullCourseComboByMEPLClassesCADivyaAgarwalandCAShrutiChamaria_1024x1024.jpg?v=1741428328,Video Lectures + Study Materials (3 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 8,483.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-law-and-audit-full-course-combo-by-mepl-classes-ca-divya-agarwal-and-ca-shruti-chamaria,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter OM SM and BDA Full Course Combo By MEPL Classes CA Divya Agarwal in 120 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter OM SM and BDA Full Course Combo By MEPL Classes CA Divya Agarwal,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 7,250.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterOMSMandBDAFullCourseComboByMEPLClassesCADivyaAgarwal_1024x1024.jpg?v=1741428327,Video Lectures + Study Materials (1 Book),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 6,308.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-om-sm-and-bda-full-course-by-mepl-classes-ca-divya-agarwal,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter Corporate Accounts, Audit and OM SM Full Course Combo By MEPL Classes CA Divya Agarwal, CA Aditya Daima, CA Sanket Shah and CA Shruti Chamaria in 255 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,"CMA Inter Corporate Accounts, Audit and OM SM Full Course Combo By MEPL Classes CA Divya Agarwal, CA Aditya Daima, CA Sanket Shah and CA Shruti Chamaria","Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 11,500.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterCorporateAccounts_AuditandOMSMFullCourseComboByMEPLClassesCADivyaAgarwal_CAAdityaDaima_CASanketShahandCAShrutiChamaria_1024x1024.jpg?v=1741428325,Video Lectures + Study Materials (4 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 10,005.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-corporate-accounts-audit-and-om-sm-by-mepl-classes,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter OM SM and Audit Full Course Combo By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria in 170 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter OM SM and Audit Full Course Combo By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 10,000.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterOMSMandAuditFullCourseComboByMEPLClassesCADivyaAgarwalandCAShrutiChamaria_1024x1024.jpg?v=1741428323,Video Lectures + Study Materials (2 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 8,700.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-om-sm-and-audit-full-course-combo-by-mepl-classes,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter OM SM and Audit Full Course Combo By MEPL Classes CA Divya Agarwal and CA Shruti Chamaria in 195 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter OM SM and FMBDA Full Course Combo By MEPL Classes CA Divya Agarwal and CA Manoj Sharma,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 11,000.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterOMSMandFMBDAFullCourseComboByMEPLClassesCADivyaAgarwalandCAManojSharma_1024x1024.jpg?v=1741446483,Video Lectures + Study Materials (2 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 9,570.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-om-sm-and-fmbda-full-course-combo-by-mepl-classes,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter Corporate Accounts and Audit Full Course By MEPL Classes CA Sanket Shah and CA Shruti Chamaria in 150 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter Corporate Accounts and Audit Full Course By MEPL Classes CA Sanket Shah and CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 6,250.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterCorporateAccountsandAuditFullCourseByMEPLClassesCASanketShahandCAShrutiChamaria_1024x1024.jpg?v=1741428320,Video Lectures + Study Materials (3 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 5,438.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-corporate-accounts-and-audit-full-course-by-mepl-classes-ca-sanket-shah-and-ca-shruti-chamaria,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter Corporate Accounts Full Course By MEPL Classes CA Sanket Shah in 75 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter Corporate Accounts Full Course By MEPL Classes CA Sanket Shah,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 3,750.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterCorporateAccountsFullCourseByMEPLClassesCASanketShah_1024x1024.jpg?v=1741428318,Video Lectures + Study Materials (2 Books),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 3,263.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-corporate-accounts-full-course-by-mepl-classes-ca-sanket-shah,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CMA Inter Audit Full Course By MEPL Classes CA Shruti Chamaria in 70 Hrs. These lectures are beneficial for June 25, Dec 25 attempts. Study materials will be provided with the same.",,MEPL Classes,,CMA Inter Audit Full Course By MEPL Classes CA Shruti Chamaria,"Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/watch?v=a8GzltASWso&list=PLCR6YTXig6z6ghRuzHSgjvdvdGakjL41s,,"Rs. 4,800.00",Mail: d2hclasses@mohitsir.com,,,//zeroinfy.in/cdn/shop/files/CMAInterAuditFullCourseByMEPLClassesCAShrutiChamaria_1024x1024.jpg?v=1741428316,Video Lectures + Study Materials (1 Book),Google Drive | Mobile App,"Jun-25,Dec-25",,There Is No Transfer Possible To Another Device Due To Any Reason,"Rs. 4,176.00",0.00,,Windows 7 Professional & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,0,Laptop / Desktop / Mobile,English,,,https://zeroinfy.in/collections/all/products/cma-inter-audit-full-course-by-mepl-classes-ca-shruti-chamaria,"3 Months / 6 Months / 9,Months / 12 Months,from the date of activation or exam term whichever is earlier (Further Extension Not Allowed)",Hindi-English Mix
"CA Inter Group 1 Combo Full Course By MEPL Classes By CA Divya Agarwal, CA Aditya Daima and CA Shruti Chamaria in 445 Hrs. These lectures are beneficial for May 25, Sep 25 and Jan 26 attempts. Study materials will be provided with the same.",,MEPL Classes,,"CA Inter Group 1 Combo Full Course By MEPL Classes CA Divya Agarwal, CA Aditya Daima and CA Shruti Chamaria","Google Drive without Hard Copy,Mobile App without Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy",https://www.youtube.com/@Zeroinfyin,,"Rs. 19,200.00",Mail: d2hclasses@mohitsir.com,445 Hrs (295 lectures),,//zeroinfy.in/cdn/shop/files/CAInterGroup1ComboFullCourseByMEPLClassesCADivyaAgarwal_CAAdityaDaimaandCAShrutiChamaria_1024x1024.jpg?v=1741428345,Video Lectures + Study Materials (8 Books),Google Drive | Mobile App,"6 Months,9 Months,12 Months",,"There Is No Transfer Possible To Another Device Due To Any Reason,Computer /Desktop Monitor size should not be more than 19” inches,IOS not supported for Google Drive / Pen Drive,Use ofÂ EarphoneÂ is recommended for better concentration and audio qualityÂ","Rs. 15,360.00",0.00,Latest,"Laptop / Desktop -,Â,Windows 8 & Above | 2 GB RAM & Above | 32-Bit Operating System & Above | Temp Files Should Be Deleted From C Drive | Pendrive Class Will Not Work In The Mobile,Mobile -Â,Classes will play only in Android & IOS |Â Classes Are Not In Downloadable Format. It Will Be In Streaming Mode, Just Like YouTube |Â Internet Availability Will Be Compulsory For Streaming The Classes |Â PENDRIVE CLASS WILL NOT WORK IN MOBILE APP |Â Model of the android mobile must be of YEAR - 2019 or above, otherwise classes won’t support. Minimum 3GB RAM required |Â Ipad / Iphone requires IOS 13.0 or later version to run the MOBILE APP Classes",0,Laptop / Desktop / MobileÂ,English,,,https://zeroinfy.in/collections/all/products/ca-inter-group-1-combo-full-course-by-mepl-classes,6 / 9 / 12 months date of installation or exam term whichever is earlier (Further Extension Is Not Possible),Hindi-Engish Mix
"CA Foundation Business Laws and Maths (QA) Full Course Combo By Prof Akash Agrawal and CS Arjun Chhabra for May 25 and Sep 25 attempts in approx 290 Hours, 12 months validity and 1.5/2 times view. Google Drive Video Lectures are available. Virtual / Hard Copy Books will be provided.",If Any Will be Uploaded on Youtube,BB Virtuals,,CA Foundation Business Laws and Maths (QA) Full Course Combo By Prof Akash Agrawal and CS Arjun Chhabra,"Google Drive without Hard Copy,Mobile App without Hard Copy",,,"Rs. 12,000.00",Mail / WhatsApp,"Law - 140 Hours (Approx 77 lectures),Maths - 150 Hours (Approx 140 lectures)","Maths -,All Basics, Module Exercises, Additional Question | Banks, Chapterwise Past Year Questions from 2012 till latest & MTPs Covered | All the doubts are resolved within 24 hours | Time to Time Strategies & Guidance",//zeroinfy.in/cdn/shop/files/CAFoundationBusinessLawsandMaths_QA_FullCourseComboByProfAkashAgrawalandCSArjunChhabra_1024x1024.jpg?v=1739800384,"Video Lectures + Study Materials (,Law,- Question Bank, Concept Book |,Maths,- 2 books (1 Maths & 1 Stats)",Google Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 11,400.00",0.00,Latest,"Laptop -,WindowsOperating system - Windows 8 and above, 4GB Ram, Dual core processor and above,Mobile -,Android version 8 & above, 3GB Ram minimum (Recommended 4GB),iOS - Requires iOS 14 or above | MAC - MAC System doesn’t support",0,Laptop / Mobile,English,"Will be provided with the technical team support number in the same mail in which you will get lectures,Email at support@zeroinfy.in","Maths - 2 times on duration,Law - 1.5 times on duration",https://zeroinfy.in/collections/all/products/ca-foundation-law-and-maths-akash-agrawal-and-arjun-chhabra,12 Months From the Date of Activation,Hindi-English Mix
"CA Foundation Business Laws and Economics Full Course Combo By CS Arjun Chhabra and CA Hardik Manchanda for May 25 and Sep 25 attempts in approx 340 Hours, 12 months validity and 1.5/2 times view. Google Drive Video Lectures are available. Virtual / Hard Copy Books will be provided.",If Any Will be Uploaded on Youtube,BB Virtuals,,CA Foundation Business Laws and Economics Full Course Combo By CS Arjun Chhabra and CA Hardik Manchanda,"Google Drive without Hard Copy,Mobile App without Hard Copy",,,"Rs. 8,999.00",Mail / WhatsApp,"Economics - 200 (Approx 120 lectures),Law - 140 Hours (Approx 77 lectures)","Economics -,100% Doubt Support | All the doubts are resolved within 24 hours | Regular Revisions & Chapter-wise Tests | Detailed Notes are prepared in the class | Personal Attention to every student | Time to Time Strategies & Guidance | Mentorship Sessions on Regular Basis | Everything you need to clear the exams",//zeroinfy.in/cdn/shop/files/CAFoundationBusinessLawsandEconomicsFullCourseComboByCSArjunChhabraandCAHardikManchanda_1024x1024.jpg?v=1739800374,"Video Lectures + Study Materials (,Law,- Question Bank, Concept Book |,Economics,- Virtual Handwritten Notes)",Google Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 8,549.00",0.00,Latest,"Laptop -,WindowsOperating system - Windows 8 and above, 4GB Ram, Dual core processor and above,Mobile -,Android version 8 & above, 3GB Ram minimum (Recommended 4GB),iOS - Requires iOS 14 or above | MAC - MAC System doesn’t support",0,Laptop / Mobile,English,"Will be provided with the technical team support number in the same mail in which you will get lectures,Email at support@zeroinfy.in","Economics - 2 times on duration,Law - 1.5 times on duration",https://zeroinfy.in/collections/all/products/ca-foundation-laws-and-economics-by-arjun-chhabra-and-hardik-manchanda,12 Months From the Date of Activation,Hindi-English Mix
"CA Pranav Chandak is the owner/founder at Pranav Chandak Academy, Pune. He is one of the best faculties for Direct Tax, Indirect Tax and Law for CA/CS/CMA students and for Mathematics at CA Foundation level in Pune and across all over India. He is known for his unique style of teaching and friendly nature, who himself while being student had set high benchmarks. He started teaching at the age of 19, while he was pursuing CA-Final. He has an overall teaching experience of 7 years and has taught more than 20,000 students. His lectures have ""To the point"" content with minimum possible duration and short & concise notes. He owns a YouTube Channel with more than 10,000 subscribers.",,CA Pranav Chandak,"Laptop:,Any above 7 with 64 BIT,Mobile,:,Any version above 6,(Motorola Mobile/Tablet or Rooted,Not,Supported)",CMA Inter OM SM Full Course By CA Pranav Chandak and Prof Disha Chandak,"Mobile App with Soft Copy,Google Drive with Soft Copy,Pen Drive with Soft Copy,Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@Zeroinfyin,,,Call / WhatsApp,120 Hours (100 lectures),,//zeroinfy.in/cdn/shop/files/CMAInterOMSMFullCourseByCAPranavChandakandProfDishaChandak_1024x1024.jpg?v=1725005762,Video Lecture + Study Material (Virtual / Hard Copy Books),Mobile App | Google Drive,"June 25,Dec 25",,,"Rs. 2,000.00",0.00,Latest,,0,Laptop / Mobile,,Email at support@zeroinfy.in,Unlimited,https://zeroinfy.in/collections/all/products/cma-inter-om-sm-by-ca-pranav-chandak-and-prof-disha-chandak,4 / 6 / 12 Months from the date of activation,Hindi-English Mix
